 175  173   0 2 0 3-1-1 0-1 0 0 2 .00000 .00000 .00000      .00000 .000035  .000000 .000000
 176  174  87 2 0 3-1-1 0 1 0 0 0 .00030 .00030 .00030      .00028 .000279  .000000 .000310
 177  175  88 2 0 3-1-1 1 1 0 0 0 .00009 .00009 .00009      .00010 .000097  .000000 .000100
 178  176  89 2 0 3-1 0 0 0 0 0 2 .00016 .00016 .00016      .00016 .000157  .000000 .000150
 179  177  90 2 0 3-1 0 1 0 0 0 2 .00007 .00007 .00007      .00000 .000066  .000000 .000060
 180  178  91 2 0 3-1 1 0-1 0 0 2 .00005 .00005 .00007      .00000 .000059  .000000 .000060
 181  179   0 2 0 3-1 1 1-1 0 0 2 .00000 .00000 .00000      .00000 .000020  .000000 .000000
 182  180   0 2 0 3 0-3-1 0 0 0 2 .00000 .00000 .00000      .00000 .000020  .000000 .000000
 183  181  92 2 0 3 0-3 0 0 0 0 0 .00054 .00054 .00054      .00054 .000543  .000000 .000540
 184    0  93 2 0 3 0-3 1-1 0 0 2 .00009 .00009 .00009      .00000 .000000  .000000 .000090
 185  182   0 2 0 3 0-3 1 0 0 0 2 .00000 .00000 .00000      .00000 .000035  .000000 .000000
 186    0  94 2 0 3 0-3 1 1 0 0 2 .00009 .00009 .00009      .00000 .000000  .000000 .000090
 187  183   0 3 0 3 0-2-1 0 0 0 1 .00000 .00000 .00000      .00000 .000004  .000000 .000000
 188  184  95 3 0 3 0-2 0 0 0 0-1 .00009 .00009 .00009      .00000 .000092  .000000 .000092
 189  185   0 3 0 3 0-2 1 0 0 0-1 .00000 .00000 .00000      .00000 .000014  .000000 .000015
 190  186  96 2 0 3 0-1 0 0 0 0 0 .02997 .02995 .02995 MTM  .02995 .029926 -.000033 .029930
 191  187   0 4 0 3 0-1 0 0 0 0 0 .00000 .00000 .00000      .00000 .000021  .000000 .000025
 192  188  97 2 0 3 0-1 1 0 0 0 0 .01241 .01241 .01241      .01241 .012405 -.000010 .012400
 193  189   0 4 0 3 0-1 1 0 0 0 0 .00000 .00000 .00000      .00000 .000008  .000000 .000000
 194  190  98 2 0 3 0-1 2 0 0 0 0 .00115 .00117 .00120      .00117 .001161 -.000001 .001180
 195  191   0 2 0 3 0 0 0-1 0 0 0 .00000 .00000 .00000      .00000 .000026  .000000 .000000
 196  192  99 3 0 3 0 0 0 0 0 0-1 .00038 .00037 .00037      .00038 .000379  .000000 .000378
 197  193   0 2 0 3 0-1 3 0 0 0 2 .00000 .00000 .00000      .00000 .000019  .000000 .000000
 198  194 100 3 0 3 0 0 1 0 0 0-1 .00024 .00024 .00024      .00024 .000236  .000000 .000235
 199  195 101 3 0 3 0 0 2 0 0 0-1 .00005 .00005 .00005      .00000 .000046  .000000 .000045
 200  196 102 2 0 3 0 1 2 0 0 0 2 .00012 .00012 .00012      .00012 .000114  .000000 .000110
 201  197 103 2 0 3 0 1 3 0 0 0 2 .00005 .00005 .00005      .00000 .000047  .000000 .000060
 202  198 104 2 0 3 1-1 0-1 0 0 2 .00026 .00026 .00026      .00026 .000252  .000000 .000260
 203  199 105 2 0 3 1-1 1-1 0 0 2 .00009 .00009 .00009      .00000 .000088  .000000 .000100
 204  200   0 2 0 3 2-3 0 0 0 0 2 .00000 .00000 .00000      .00000 .000096  .000000 .000100
 205  201   0 2 0 3 2-3 1 0 0 0 2 .00000 .00000 .00000      .00000 .000037  .000000 .000000
 206  202   0 2 0 3 2-1 2 0 0 0 2 .00000 .00000 .00000      .00000 .000025  .000000 .000000
 207  203   0 2 0 3 2-1 3 0 0 0 2 .00000 .00000 .00000      .00000 .000010  .000000 .000000
 208  204   0 2 0 4-6 2 0 0 0 0 0 .00000 .00000 .00000      .00000 .000009  .000000 .000000
 209  205   0 2 0 4-5 0 0 1 0 0 0 .00000 .00000 .00000      .00000 .000027  .000000 .000000
 210  206   0 2 0 4-5 2 0 1 0 0 0 .00000 .00000 .00000      .00000 .000013  .000000 .000000
 211  207   0 2 0 4-4 0-1 0 0 0 0 .00000 .00000 .00000      .00000 .000044  .000000 .000050
 212  208 106 2 0 4-4 0 0 0 0 0 0 .00019 .00019 .00019      .00020 .000211  .000000 .000200
 213  209   0 2 0 4-4 0 0 2 0 0 0 .00000 .00000 .00000      .00000 .000016  .000000 .000000
 214  210   0 2 0 4-4 0 1 0 0 0 2 .00000 .00000 .00000      .00000 .000019  .000000 .000000
